model,type,tuning parameter
Model Averaged Naive Bayes Classifier,Classification,"smooth, prior"
Model Averaged Neural Network,"Classification, Regression","size, decay, bag"
Model Rules,Regression,"pruned, smoothed"
Model Tree,Regression,"pruned, smoothed, rules"
Monotone Multi-Layer Perceptron Neural Network,"Classification, Regression","hidden1, n.ensemble"
Multi-Layer Perceptron,"Classification, Regression",size
Multi-Layer Perceptron,"Classification, Regression","size, decay"
"Multi-Layer Perceptron, multiple layers","Classification, Regression","layer1, layer2, layer3, decay"
"Multi-Layer Perceptron, with multiple layers","Classification, Regression","layer1, layer2, layer3"
Multi-Step Adaptive MCP-Net,"Classification, Regression","alphas, nsteps, scale"
Multilayer Perceptron Network by Stochastic Gradient Descent,"Classification, Regression","size, l2reg, lambda, learn_rate, momentum, gamma, minibatchsz, repeats"
Multilayer Perceptron Network with Dropout,"Classification, Regression","size, dropout, batch_size, lr, rho, decay, activation"
Multilayer Perceptron Network with Dropout,Classification,"size, dropout, batch_size, lr, rho, decay, cost, activation"
Multilayer Perceptron Network with Weight Decay,"Classification, Regression","size, lambda, batch_size, lr, rho, decay, activation"
Multilayer Perceptron Network with Weight Decay,Classification,"size, lambda, batch_size, lr, rho, decay, cost, activation"
Multivariate Adaptive Regression Spline,"Classification, Regression","nprune, degree"
Multivariate Adaptive Regression Splines,"Classification, Regression",degree
Naive Bayes,Classification,"laplace, usekernel, adjust"
Naive Bayes,Classification,"fL, usekernel, adjust"
Naive Bayes Classifier,Classification,smooth
Naive Bayes Classifier with Attribute Weighting,Classification,smooth
Nearest Shrunken Centroids,Classification,threshold
Negative Binomial Generalized Linear Model,Regression,link
Neural Network,"Classification, Regression","layer1, layer2, layer3, learning.rate, momentum, dropout, activation"
Neural Network,"Classification, Regression","layer1, layer2, layer3, dropout, beta1, beta2, learningrate, activation"
Neural Network,Regression,"layer1, layer2, layer3"
Neural Network,"Classification, Regression","size, decay"
Neural Networks with Feature Extraction,"Classification, Regression","size, decay"
Non-Convex Penalized Quantile Regression,Regression,"lambda, penalty"
Non-Informative Model,"Classification, Regression",None
Non-Negative Least Squares,Regression,None
Oblique Random Forest,Classification,mtry
Oblique Random Forest,Classification,mtry
Oblique Random Forest,Classification,mtry
Oblique Random Forest,Classification,mtry
Optimal Weighted Nearest Neighbor Classifier,Classification,K
Ordered Logistic or Probit Regression,Classification,method
Parallel Random Forest,"Classification, Regression",mtry
partDSA,"Classification, Regression","cut.off.growth, MPD"
Partial Least Squares,"Classification, Regression",ncomp
Partial Least Squares,"Classification, Regression",ncomp
Partial Least Squares,"Classification, Regression",ncomp
Partial Least Squares,"Classification, Regression",ncomp
Partial Least Squares Generalized Linear Models,"Classification, Regression","nt, alpha.pvals.expli"
Patient Rule Induction Method,Classification,"peel.alpha, paste.alpha, mass.min"
Penalized Discriminant Analysis,Classification,lambda
Penalized Discriminant Analysis,Classification,df
Penalized Linear Discriminant Analysis,Classification,"lambda, K"
Penalized Linear Regression,Regression,"lambda1, lambda2"
Penalized Logistic Regression,Classification,"lambda, cp"
Penalized Multinomial Regression,Classification,decay
Penalized Ordinal Regression,Classification,"alpha, criteria, link"
Polynomial Kernel Regularized Least Squares,Regression,"lambda, degree"
Principal Component Analysis,Regression,ncomp
Projection Pursuit Regression,Regression,nterms
Quadratic Discriminant Analysis,Classification,None
Quadratic Discriminant Analysis with Stepwise Feature Selection,Classification,"maxvar, direction"
Quantile Random Forest,Regression,mtry
Quantile Regression Neural Network,Regression,"n.hidden, penalty, bag"
Quantile Regression with LASSO penalty,Regression,lambda
Radial Basis Function Kernel Regularized Least Squares,Regression,"lambda, sigma"
Radial Basis Function Network,"Classification, Regression",size
Radial Basis Function Network,"Classification, Regression",negativeThreshold
Random Ferns,Classification,depth
Random Forest,"Classification, Regression","mtry, splitrule, min.node.size"
Random Forest,"Classification, Regression","predFixed, minNode"
Random Forest,"Classification, Regression",mtry
Random Forest by Randomization,"Classification, Regression","mtry, numRandomCuts"
Random Forest Rule-Based Model,"Classification, Regression","mtry, maxdepth"
Regularized Discriminant Analysis,Classification,"gamma, lambda"
Regularized Linear Discriminant Analysis,Classification,estimator
Regularized Logistic Regression,Classification,"cost, loss, epsilon"
Regularized Random Forest,"Classification, Regression","mtry, coefReg, coefImp"
Regularized Random Forest,"Classification, Regression","mtry, coefReg"
Relaxed Lasso,Regression,"lambda, phi"
Relevance Vector Machines with Linear Kernel,Regression,None
Relevance Vector Machines with Polynomial Kernel,Regression,"scale, degree"
Relevance Vector Machines with Radial Basis Function Kernel,Regression,sigma
Ridge Regression,Regression,lambda
Ridge Regression with Variable Selection,Regression,"k, lambda"
Robust Linear Discriminant Analysis,Classification,None
Robust Linear Model,Regression,"intercept, psi"
Robust Mixture Discriminant Analysis,Classification,"K, model"
Robust Quadratic Discriminant Analysis,Classification,None
Robust Regularized Linear Discriminant Analysis,Classification,"lambda, hp, penalty"
Robust SIMCA,Classification,None
ROC-Based Classifier,Classification,xgenes
Rotation Forest,Classification,"K, L"
Rotation Forest,Classification,"K, L, cp"
Rule-Based Classifier,Classification,"NumOpt, NumFolds, MinWeights"
Rule-Based Classifier,Classification,"threshold, pruned"
Self-Organizing Maps,"Classification, Regression","xdim, ydim, user.weights, topo"
Semi-Naive Structure Learner Wrapper,Classification,"k, epsilon, smooth, final_smooth, direction"
Shrinkage Discriminant Analysis,Classification,"diagonal, lambda"
SIMCA,Classification,None
Simplified TSK Fuzzy Rules,Regression,"num.labels, max.iter"
Single C5.0 Ruleset,Classification,None
Single C5.0 Tree,Classification,None
Single Rule Classification,Classification,None
Sparse Distance Weighted Discrimination,Classification,"lambda, lambda2"
Sparse Linear Discriminant Analysis,Classification,"NumVars, lambda"
Sparse Mixture Discriminant Analysis,Classification,"NumVars, lambda, R"
Sparse Partial Least Squares,"Classification, Regression","K, eta, kappa"
Spike and Slab Regression,Regression,vars
Stabilized Linear Discriminant Analysis,Classification,None
Stabilized Nearest Neighbor Classifier,Classification,lambda
Stacked AutoEncoder Deep Neural Network,"Classification, Regression","layer1, layer2, layer3, hidden_dropout, visible_dropout"
Stochastic Gradient Boosting,"Classification, Regression","n.trees, interaction.depth, shrinkage, n.minobsinnode"
Subtractive Clustering and Fuzzy c-Means Rules,Regression,"r.a, eps.high, eps.low"
Supervised Principal Component Analysis,Regression,"threshold, n.components"
Support Vector Machines with Boundrange String Kernel,"Classification, Regression","length, C"
Support Vector Machines with Class Weights,Classification,"sigma, C, Weight"
Support Vector Machines with Exponential String Kernel,"Classification, Regression","lambda, C"
Support Vector Machines with Linear Kernel,"Classification, Regression",C
Support Vector Machines with Linear Kernel,"Classification, Regression",cost
Support Vector Machines with Polynomial Kernel,"Classification, Regression","degree, scale, C"
Support Vector Machines with Radial Basis Function Kernel,"Classification, Regression","sigma, C"
Support Vector Machines with Radial Basis Function Kernel,"Classification, Regression",C
Support Vector Machines with Radial Basis Function Kernel,"Classification, Regression","sigma, C"
Support Vector Machines with Spectrum String Kernel,"Classification, Regression","length, C"
The Bayesian lasso,Regression,sparsity
The lasso,Regression,fraction
Tree Augmented Naive Bayes Classifier,Classification,"score, smooth"
Tree Augmented Naive Bayes Classifier Structure Learner Wrapper,Classification,"k, epsilon, smooth, final_smooth, sp"
Tree Augmented Naive Bayes Classifier with Attribute Weighting,Classification,"score, smooth"
Tree Models from Genetic Algorithms,"Classification, Regression",alpha
Tree-Based Ensembles,"Classification, Regression","maxinter, mode"
Variational Bayesian Multinomial Probit Regression,Classification,estimateTheta
Wang and Mendel Fuzzy Rules,Regression,"num.labels, type.mf"
Weighted Subspace Random Forest,Classification,mtry
